song,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,62,55,80,15,0,37,7
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,72,17,64,7,0,10,5
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,80,81,67,4,0,8,6
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,82,67,77,8,0,12,5
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,86,67,66,14,0,12,16
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,78,76,59,43,0,34,3
Cupid,Fifty Fifty,1,2023,2,24,526,10,77,94,66,65,0,38,3
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,84,43,75,5,0,6,8
Pink + White,Frank Ocean,1,2016,8,20,21574,30,54,54,55,67,0,42,11
Lost,Frank Ocean,1,2012,1,1,29499,11,91,49,61,3,0,17,22
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,0,51,94,34,73,0,10,5
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,0,60,86,32,88,0,34,6
Limbo,Freddie Dredd,1,2022,8,11,688,0,80,46,62,3,6,11,46
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,79,96,86,9,0,9,9
